Id,SalePrice
1461,212846.27
1462,294765.16
1463,565762.5
1464,566882.75
1465,299796.88
1466,560863.4
1467,305172.78
1468,563197.75
1469,296073.97
1470,301300.4
1471,300629.6
1472,574492.0
1473,570264.1
1474,567468.4
1475,263967.25
1476,564474.1
1477,293148.62
1478,248425.86
1479,311637.03
1480,316469.62
1481,569917.5
1482,315835.16
1483,296131.94
1484,318699.1
1485,564897.94
1486,561001.5
1487,568141.06
1488,312861.4
1489,270705.78
1490,289423.28
1491,564767.4
1492,212057.1
1493,239693.95
1494,560259.6
1495,570078.9
1496,300468.28
1497,561788.2
1498,566048.25
1499,564360.2
1500,566167.2
1501,566167.2
1502,565453.7
1503,289708.2
1504,565762.5
1505,297872.2
1506,310732.94
1507,568309.7
1508,606752.06
1509,564425.44
1510,309259.56
1511,269666.78
1512,313107.53
1513,562410.6
1514,291817.72
1515,561097.0
1516,527675.1
1517,296290.2
1518,231151.08
1519,321202.16
1520,289040.97
1521,289097.53
1522,313015.2
1523,570769.0
1524,267433.44
1525,265477.9
1526,266297.1
1527,283831.7
1528,529019.56
1529,295637.06
1530,308961.53
1531,572375.3
1532,212935.58
1533,303590.0
1534,570587.3
1535,534442.75
1536,533965.7
1537,334626.28
1538,568495.44
1539,609323.25
1540,563159.2
1541,560366.94
1542,530634.06
1543,572986.1
1544,220484.19
1545,569134.7
1546,565236.75
1547,530044.94
1548,573716.44
1549,569119.7
1550,566239.44
1551,213838.02
1552,564984.1
1553,567852.3
1554,571181.8
1555,222419.8
1556,570991.6
1557,565519.6
1558,573108.0
1559,564572.4
1560,528596.56
1561,284092.16
1562,287863.28
1563,274764.16
1564,304769.28
1565,559692.7
1566,300495.16
1567,231190.4
1568,566505.56
1569,569316.3
1570,268839.56
1571,267882.8
1572,274583.66
1573,294948.7
1574,277626.75
1575,321480.2
1576,567508.44
1577,311095.16
1578,564034.56
1579,302602.28
1580,565705.25
1581,273431.03
1582,288227.88
1583,316846.8
1584,563571.94
1585,316589.12
1586,246792.45
1587,276172.2
1588,277215.03
1589,569796.44
1590,267684.97
1591,260398.8
1592,224459.2
1593,287296.75
1594,547998.6
1595,523734.72
1596,569887.9
1597,563611.9
1598,564574.94
1599,302640.88
1600,302640.88
1601,339084.03
1602,575137.7
1603,257464.92
1604,247937.14
1605,565229.75
1606,300213.97
1607,324782.7
1608,316225.2
1609,271214.6
1610,563054.4
1611,287904.38
1612,286180.84
1613,291162.72
1614,274563.6
1615,569060.8
1616,563196.8
1617,572443.75
1618,275994.66
1619,292499.16
1620,611910.25
1621,567419.4
1622,573004.94
1623,296706.3
1624,568309.7
1625,276450.4
1626,316359.2
1627,565762.5
1628,567347.06
